Departamentos,0 a 2,3 a 6,7 a 13,14 a 17,18 a 45,46 a 64,65 y mas,Ns/Nr,Total Personas,Jefatura Familiar
ANTIOQUIA,1482,2527,4098,1861,6982,1465,468,356,19239,3969
BOLIVAR,2021,3647,6092,2875,10221,2533,1022,474,28885,5362
